event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
LSQ12gdj,56264.10,17.06,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56264.10,17.09,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56264.10,16.21,0.03,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56264.10,16.16,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56264.10,17.10,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56264.2710,18.117,0.101,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56264.2722,16.382,0.068,F,U,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56264.2729,16.442,0.060,F,B,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56264.2745,19.576,0.175,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56264.2764,16.216,0.067,F,V,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56264.2784,19.473,0.154,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56264.30,16.42,0.06,F,B,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56264.30,16.39,0.08,F,U,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56264.30,19.51,0.17,F,UVM2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56264.30,18.09,0.10,F,UVW1,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56264.30,19.54,0.18,F,UVW2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56264.30,16.27,0.08,F,V,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56265.05369,16.451,0.009,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56265.05801,16.246,0.008,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56265.06348,16.323,0.01,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56265.06733,17.213,0.013,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56265.10,16.48,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56265.10,16.31,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56265.10,17.17,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56265.10,17.18,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56265.10,16.31,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56265.10,16.24,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56265.10,17.11,0.01,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56266.04485,16.41,0.008,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56266.04903,17.321,0.01,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56266.0536,16.292,0.009,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56266.0575,16.534,0.01,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56266.10,16.56,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56266.10,16.38,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56266.10,17.24,0.03,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56266.10,17.28,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
