MJD	FLT	FLUXCAL	FLUXCALERR	MAG	MAGERR	TELESCOPE	INSTRUMENT
58882.320	g	34220.827	295.281	16.164	0.009	Swope	Direct/4Kx4K
58882.330	V	50937.806	432.078	15.733	0.009	Swope	Direct/4Kx4K
58882.332	B	20860.118	712.047	16.702	0.037	Swope	Direct/4Kx4K
58883.373	r	67636.970	448.181	15.424	0.007	Swope	Direct/4Kx4K
58883.374	i	68029.519	474.167	15.418	0.008	Swope	Direct/4Kx4K
58883.375	g	29668.235	1597.205	16.319	0.058	Swope	Direct/4Kx4K
58883.379	V	42427.636	4929.575	15.931	0.126	Swope	Direct/4Kx4K
58883.380	B	21445.892	200.282	16.672	0.010	Swope	Direct/4Kx4K
58884.370	i	65567.628	1021.919	15.458	0.017	Swope	Direct/4Kx4K
58884.371	g	30113.387	1565.065	16.303	0.056	Swope	Direct/4Kx4K
58884.376	B	23287.607	1214.666	16.582	0.057	Swope	Direct/4Kx4K
58885.353	r	57936.228	2789.283	15.593	0.052	Swope	Direct/4Kx4K
58885.355	i	63342.659	2237.703	15.496	0.038	Swope	Direct/4Kx4K
58885.356	g	39430.718	2049.074	16.011	0.056	Swope	Direct/4Kx4K
58885.358	u	10414.055	321.723	17.456	0.034	Swope	Direct/4Kx4K
58885.366	V	49555.930	2892.142	15.762	0.063	Swope	Direct/4Kx4K
58885.368	B	22633.901	6254.716	16.613	0.300	Swope	Direct/4Kx4K
58885.384	g	28364.215	28364.215	16.368	1.086	Swope	Direct/4Kx4K
58893.288	r	39662.044	320.770	16.004	0.009	Swope	Direct/4Kx4K
58893.289	i	40486.121	353.843	15.982	0.009	Swope	Direct/4Kx4K
58893.291	g	24391.215	243.260	16.532	0.011	Swope	Direct/4Kx4K
58893.294	u	5666.555	227.688	18.116	0.044	Swope	Direct/4Kx4K
58893.301	V	32386.844	315.401	16.224	0.011	Swope	Direct/4Kx4K
58893.303	B	17047.882	180.904	16.921	0.012	Swope	Direct/4Kx4K
58894.308	r	40214.511	296.008	15.989	0.008	Swope	Direct/4Kx4K
58894.309	i	36487.023	1961.288	16.095	0.058	Swope	Direct/4Kx4K
58894.311	g	24312.804	692.127	16.536	0.031	Swope	Direct/4Kx4K
58894.321	V	32571.548	330.268	16.218	0.011	Swope	Direct/4Kx4K
58894.322	B	16008.417	799.188	16.989	0.054	Swope	Direct/4Kx4K
58895.284	r	45050.603	595.838	15.866	0.014	Swope	Direct/4Kx4K
58895.286	i	3648.159	3648.159	18.595	1.086	Swope	Direct/4Kx4K
58895.287	g	1976.771	1976.771	19.260	1.086	Swope	Direct/4Kx4K
58895.289	u	6466.969	147.877	17.973	0.025	Swope	Direct/4Kx4K
58895.298	V	30285.571	2351.223	16.297	0.084	Swope	Direct/4Kx4K
