Xpos,Ypos,Mag,Mag_err,flux,flux_err,type,peakflux,sigx,sigxy,sigy,sky,chisqr,class,FWHM1,FWHM2,FWHM,angle,extendedness,flag,mask,Nmask,RA,Dec,pixchk_Npos,pixchk_Nneg,pixchk_Nmask,pixchk_Ntot,pixchk_Fpos,pixchk_Fneg,time,zpt_av,zpt_00,band,mag0,MJD,MAG,MAGERR,FLT
2250.7070000000003,2251.73,-11.315,0.011000000000000001,33587.89,343.15,0x00000001,2316.72,1.3665049999999999,-0.062967,1.440205,30.76,1.98,0.0,3.55,3.1,3.32,56.5,5.2,0x0000,0x0000,0,0.0,0.0,70,0,0,79,33506.0,0.0,58909.37156,28.963962,28.963962,B,17.648505194484798,58909.37156,17.648505194484798,0.011000000000000001,B
2250.959,2251.155,-12.35,0.005,87061.92,388.35,0x00000001,7906.66,1.233309,0.000146,1.221459,54.97,27.79,0.0,2.9,2.88,2.89,-0.7,35.6,0x0000,0x0000,0,0.0,0.0,59,0,0,61,86953.0,0.0,58882.31679,27.985198,27.985198,r,15.63562739864921,58882.31679,15.63562739864921,0.005,r
2250.949,2251.138,-12.917,0.004,146892.42,530.23,0x00000001,14837.5,1.151657,-0.048794,1.173499,92.48,127.98,0.0,2.84,2.65,2.74,53.0,33.9,0x0000,0x0000,0,0.0,0.0,53,0,0,53,146120.0,0.0,58872.35262,27.437134,27.437134,i,14.519635535662339,58872.35262,14.519635535662339,0.004,i
2250.876,2251.254,-9.175,0.092,4677.63,395.27,0x00000001,216.06,1.617909,0.036278,1.8202450000000001,6.41,1.3,0.0,4.39,3.74,4.07,-68.9,-1.5,0x0000,0x0000,0,0.0,0.0,37,2,0,115,4126.0,-118.0,58910.25045,28.3987,28.3987,u,19.22363533453081,58910.25045,19.22363533453081,0.092,u
2250.947,2251.2270000000003,-11.823,0.018000000000000002,53623.49,881.01,0x00000001,3848.98,1.339114,-0.053346000000000005,1.41596,-26.29,1.92,0.0,3.44,3.07,3.26,59.5,0.2,0x0000,0x0000,0,0.0,0.0,52,3,0,74,48192.0,-501.0,58923.27719,29.305505,29.305505,g,17.482117310160277,58923.27719,17.482117310160277,0.018000000000000002,g
2250.894,2251.1420000000003,-11.185,0.013999999999999999,29778.35,387.19,0x00000001,2137.62,1.339114,-0.053346000000000005,1.41596,20.48,2.39,0.0,3.44,3.07,3.26,59.5,-5.0,0x0000,0x0000,0,0.0,0.0,63,1,0,72,28210.0,-56.0,58908.30547,28.254938,28.254938,g,17.07018642476615,58908.30547,17.07018642476615,0.013999999999999999,g
2250.798,2251.844,-11.515999999999998,0.022000000000000002,40383.47,801.05,0x00000001,2784.94,1.3665049999999999,-0.062967,1.440205,-5.6,1.93,0.0,3.55,3.1,3.32,56.5,6.9,0x0000,0x0000,0,0.0,0.0,67,0,0,77,40364.0,0.0,58921.2622,29.472422,29.472422,B,17.956912916235726,58921.2622,17.956912916235726,0.022000000000000002,B
2250.903,2251.084,-12.597000000000001,0.008,109329.76,852.16,0x00000001,9929.87,1.233309,0.000146,1.221459,40.82,10.53,0.0,2.9,2.88,2.89,-0.7,24.8,0x0000,0x0000,0,0.0,0.0,55,0,0,60,106820.0,0.0,58908.29823,29.335487,29.335487,r,16.738641013136785,58908.29823,16.738641013136785,0.008,r
2251.052,2251.125,-12.315,0.013999999999999999,84303.61,1092.58,0x00000001,3993.61,1.615197,0.055992999999999994,1.7649259999999998,14.14,1.96,0.0,4.39,3.65,4.02,-59.5,3.4,0x0000,0x0000,0,0.0,0.0,89,0,0,114,80682.0,0.0,58911.20108,29.4644,29.4644,g,17.149784569680392,58911.20108,17.149784569680392,0.013999999999999999,g
2250.933,2251.178,-12.267000000000001,0.01,80690.71,777.95,0x00000001,5791.56,1.339114,-0.053346000000000005,1.41596,46.17,2.11,0.0,3.44,3.07,3.26,59.5,-5.9,0x0000,0x0000,0,0.0,0.0,65,0,0,72,76246.0,0.0,58904.32488,29.263139,29.263139,g,16.99608015786587,58904.32488,16.99608015786587,0.01,g
